observation_date;PCE;PAYEMS;IPMAN
1973-01-01;10,86929173;5,051289605;14,15746558
1973-04-01;9,406001225;4,432865625;6,52869328
1973-07-01;8,806988154;2,39618076;4,54968698
1973-10-01;6,60344222;3,609272815;6,266390141
1974-01-01;7,509790371;2,541007899;-0,573771875
1974-04-01;11,89372527;1,444302177;-3,646512347
1974-07-01;11,90162495;1,296215968;2,921827945
1974-10-01;9,084124107;-0,030520372;-6,018005641
1975-01-01;6,839032527;-6,801475264;-38,07704209
1975-04-01;7,954079541;-4,310869031;-16,54312879
1975-07-01;18,01005025;1,621763013;8,478928667
1975-10-01;8,116945566;4,011983848;13,51956794
1976-01-01;17,4191724;4,967758576;11,46525854
1976-04-01;6,611868847;4,020228526;9,7786329
1976-07-01;8,601386174;1,286384503;5,291285361
1976-10-01;9,464161447;1,830364439;2,922546001
1977-01-01;12,98436438;3,899338014;8,427771752
1977-04-01;10,63374486;5,145619036;17,63006557
1977-07-01;10,64699751;5,413077525;6,858548862
1977-10-01;9,6524795;4,664751189;3,072996309
1978-01-01;5,520817447;3,789976134;-0,689142132
1978-04-01;20,12786762;7,414237416;15,02636746
1978-07-01;8,70810656;4,837399318;4,747248874
1978-10-01;11,24194001;3,449383056;7,152748143
1979-01-01;9,680278138;3,874664605;3,732152597
1979-04-01;9,584664537;2,742996126;-3,690870521
1979-07-01;12,4024961;3,578737824;6,35105334
1979-10-01;13,99659542;1,170511101;-2,679940034
1980-01-01;13,57212476;1,410240824;1,811113419
1980-04-01;-0,494903671;0,215859031;-12,10576294
1980-07-01;12,24634261;-4,442536517;-23,12010932
1980-10-01;16,0265583;2,894033838;17,75207512
1981-01-01;11,64492873;2,400265223;7,085329123
1981-04-01;7,35828877;1,098502741;1,54537474
1981-07-01;7,918504516;1,393468663;0,715166995
1981-10-01;4,489985068;-0,965054967;-5,8641015
1982-01-01;6,762055094;-3,567520245;-21,90903689
1982-04-01;5,848480296;-1,832937669;5,474964796
1982-07-01;9,060849825;-2,790904049;-1,722839756
1982-10-01;10,34649165;-2,743490354;-9,783230783
1983-01-01;9,069526766;0,373423915;5,686685673
1983-04-01;9,641214351;1,681087763;8,628828427
1983-07-01;14,01365433;4,80282888;14,43365549
1983-10-01;9,234507898;4,790074859;15,44363919
1984-01-01;10,48523923;5,039335664;10,76057302
1984-04-01;6,299082417;4,829885727;8,171395998
1984-07-01;6,038657172;4,251961788;4,717403492
1984-10-01;5,884710976;3,544715104;1,312301431
1985-01-01;13,82688737;3,107843855;1,205499046
1985-04-01;6,21658775;2,764288383;-0,165584885
1985-07-01;8,452716676;2,514478864;-0,75534807
1985-10-01;5,906396141;2,396362445;1,685079857
1986-01-01;10,34908194;2,031903739;8,992620152
1986-04-01;1,146050723;1,57598347;-2,381242399
1986-07-01;6,489841986;1,420486073;1,067434306
1986-10-01;7,177564904;2,605732209;3,775737049
1987-01-01;0,354597838;2,225307378;3,947206592
1987-04-01;14,07596662;3,261884424;8,625640577
1987-07-01;7,358167698;2,947812294;7,501746347
1987-10-01;5,144278928;3,485676841;11,38117728
1988-01-01;10,1068751;2,385153872;3,82886727
1988-04-01;6,136229268;3,774348694;6,467223623
1988-07-01;9,770150169;3,124164534;-0,103980909
1988-10-01;8,496125886;2,7513027;3,60214187
1989-01-01;8,2022439;3,330949603;6,964750186
1989-04-01;6,808852657;2,351601795;-3,885790321
1989-07-01;4,820773356;1,031626017;-7,359460897
1989-10-01;5,343447583;1,506444956;2,083847231
1990-01-01;10,68912373;2,625465541;0,715439849
1990-04-01;4,21368644;1,765761805;6,163877868
1990-07-01;5,485411141;0,55803775;1,5948817
1990-10-01;5,118141141;-1,639000938;-1,630512031
1991-01-01;-3,058957268;-1,181278743;-10,48165812
1991-04-01;6,883624056;-2,563961486;-3,975936407
1991-07-01;6,030047862;-0,225194045;9,074968588
1991-10-01;1,008572869;0,26225875;4,199026408
1992-01-01;10,93561368;0,02214819;-3,858687589
1992-04-01;4,582955909;0,546291768;10,5427371
1992-07-01;7,096696115;1,046859881;7,50117017
1992-10-01;7,600837139;1,235305472;1,36090046
1993-01-01;5,227903937;2,415357126;4,940662486
1993-04-01;4,856359573;1,825236352;2,323466329
1993-07-01;6,873947285;2,774377805;-0,061248831
1993-10-01;5,719528296;2,423915001;5,843388546
1994-01-01;4,615248853;3,096667949;5,041731081
1994-04-01;7,502562649;3,513383897;9,679909622
1994-07-01;4,238830254;3,591960348;5,868159444
1994-10-01;7,821039698;2,966659977;9,012575511
1995-01-01;3,183112053;3,627324458;8,571825138
1995-04-01;3,215699208;1,926114125;-1,121784447
1995-07-01;6,543699644;1,066074403;0,685401158
1995-10-01;3,516961088;2,221900372;8,202640532
1996-01-01;5,728075949;0,979420312;-0,422594931
1996-04-01;9,619128144;2,833043155;9,995712797
1996-07-01;3,371735791;2,883614757;9,0595201
1996-10-01;5,834079095;2,159730034;4,430251172
1997-01-01;6,200619311;2,320512502;7,304475485
1997-04-01;3,563046331;3,035521535;9,076163954
1997-07-01;6,557617277;2,708449184;8,431797777
1997-10-01;6,408592849;2,638248099;12,38205854
1998-01-01;3,703638008;2,869500662;9,796199653
1998-04-01;6,903460518;2,031839632;1,411665923
1998-07-01;7,042034519;2,426522755;-2,984070616
1998-10-01;7,388794567;2,351673428;13,46338987
1999-01-01;5,0076682;2,37573848;3,974361499
1999-04-01;8,27145656;2,800225522;5,154792902
1999-07-01;5,684329381;2,563025864;4,358554774
1999-10-01;7,875819072;2,339633138;6,306495031
2000-01-01;8,204136382;2,550334539;5,950982695
2000-04-01;8,326583014;2,671572182;6,582260324
2000-07-01;5,354014762;1,037275181;1,292317298
2000-10-01;7,404890301;0,38116558;-1,810749406
2001-01-01;5,430966956;1,045696325;-4,995782253
2001-04-01;0,961731116;-0,729475953;-4,737658553
2001-07-01;4,460181034;-0,860663164;-7,286450077
2001-10-01;7,376134871;-2,17596901;-4,87625007
2002-01-01;-1,569410362;-1,825761495;2,30804036
2002-04-01;7,120786126;-0,718368844;4,63548526
2002-07-01;4,091623932;-0,104121209;5,880959925
2002-10-01;2,593640437;0,116401063;-0,482979043
2003-01-01;5,707983645;-0,128616379;2,746479414
2003-04-01;4,943444764;-1,234501719;-2,789199696
2003-07-01;6,418233021;0,021509341;3,699258086
2003-10-01;5,692922522;0,786585038;2,368634187
2004-01-01;7,102727712;0,99970101;3,071429652
2004-04-01;5,000562001;1,973005009;4,193018714
2004-07-01;6,399250049;1,336275778;3,361137616
2004-10-01;7,77962583;1,771723714;6,411970134
2005-01-01;4,792130617;1,04203635;5,804451958
2005-04-01;8,50583099;2,223259877;3,372080675
2005-07-01;8,084439528;2,339794482;0,699479137
2005-10-01;3,826605525;1,033530161;3,590752831
2006-01-01;5,956256643;2,320192508;7,396914446
2006-04-01;5,291238591;2,32158021;-0,014950932
2006-07-01;6,623438792;0,913288941;-0,514252607
2006-10-01;2,131894946;0,955157411;1,737787522
2007-01-01;6,178674842;1,835613235;5,233175611
2007-04-01;4,398922285;1,067822747;7,627392635
2007-07-01;4,458915758;0,577468569;1,455595503
2007-10-01;5,398365313;0,382492285;-0,083286327
2008-01-01;4,60198124;0,651352642;2,118185192
2008-04-01;2,957064543;-1,04336014;-8,583669972
2008-07-01;4,559943597;-1,582173025;-9,383928305
2008-10-01;-5,930231416;-3,48529369;-21,35352512
2009-01-01;-7,450593476;-6,530001321;-35,6779107
2009-04-01;-3,034365099;-6,695060006;-9,398076451
2009-07-01;4,65796879;-3,531955244;1,804332458
2009-10-01;3,657586761;-1,833752994;9,091608194
2010-01-01;3,183417362;-0,811920469;8,108012655
2010-04-01;5,019838705;0,976902572;9,144416615
2010-07-01;3,370554786;0,937632095;7,499012024
2010-10-01;4,608447522;0,613402852;1,456514075
2011-01-01;4,925672033;0,679834635;3,099772044
2011-04-01;5,242384182;2,329527216;1,083654803
2011-07-01;2,985326837;1,176256041;2,762468301
2011-10-01;2,65757203;1,715268465;5,195731927
2012-01-01;3,476844181;2,079105592;5,642516321
2012-04-01;4,467366566;1,744142413;1,865708615
2012-07-01;-0,061714389;0,974392312;-0,528725558
2012-10-01;4,378766974;1,544505155;-1,929551811
2013-01-01;4,130227881;1,764299664;4,613185822
2013-04-01;1,020226796;1,806823642;0,216034274
2013-07-01;3,244364468;1,516088198;-1,347665845
2013-10-01;4,410600918;1,900418649;4,337414408
2014-01-01;2,810923639;1,497383956;-5,046637448
2014-04-01;6,339171589;2,169361405;7,449214979
2014-07-01;4,832388223;2,250213307;4,299783714
2014-10-01;5,386243742;2,096695332;-2,185656432
2015-01-01;0,06630915;2,165873896;-0,226673878
2015-04-01;4,720428949;1,821260369;-1,891079238
2015-07-01;5,104389349;2,229430178;1,303424282
2015-10-01;0,970489046;1,679003303;-2,61031536
2016-01-01;2,681748138;1,719675983;-0,522529322
2016-04-01;4,279531976;1,838014497;-2,328597689
2016-07-01;4,605320541;1,832387943;0,905760207
2016-10-01;3,45857471;1,533404837;0,126745262
2017-01-01;6,11486749;1,571665897;0,59169277
2017-04-01;3,230325252;1,4638936;2,89183919
2017-07-01;2,858184248;1,641901322;-2,048437553
2017-10-01;5,555178575;1,021993296;3,60732648
2018-01-01;7,608849228;1,421707544;-2,204238661
2018-04-01;3,943575635;2,047809305;6,722454115
2018-07-01;3,94265233;1,606187595;-0,515394058
2018-10-01;3,099865472;1,352820389;-0,561292822
2019-01-01;0,150535038;1,572970587;-3,123156716
2019-04-01;5,391669742;1,196424051;-5,697203801
2019-07-01;5,420813402;0,839515684;-0,87431826
2019-10-01;3,10120372;1,50584243;-3,621173289
2020-01-01;6,35490949;1,719413392;2,862472609
2020-04-01;-69,85562613;-56,98431275;-76,71294368
2020-07-01;67,27999804;26,47857088;66,6437334
2020-10-01;11,68770257;9,822815394;8,350739643
2021-01-01;9,380717565;1,375641323;9,669755336
2021-04-01;21,44703701;4,602396324;-3,789978033
2021-07-01;7,485760781;5,377072759;8,708517496
2021-10-01;11,46692424;5,461319068;0,268723775
2022-01-01;6,616186544;4,165348447;1,233760316
2022-04-01;9,992539346;4,189039745;8,61905358
2022-07-01;5,682100459;3,433589578;-1,816706705
2022-10-01;8,172518284;2,682703621;1,983034611
2023-01-01;7,022009366;2,599898705;-5,175736586
2023-04-01;2,94466143;1,75992052;2,198070534
2023-07-01;6,088064562;1,598057666;-1,334884661